robot,scenario,solver,display_name,n,our_success_pct,sim_success_pct,success_agree_pct,our_collision_pct,sim_collision_pct,our_mean_clearance_m,sim_mean_clearance_m,our_mean_pos_mm,sim_mean_pos_mm,mean_ms,p95_ms
ur5,open_space,jacobian_dls,Jacobian (DLS),150,56.666666666666664,56.666666666666664,100.0,11.333333333333332,28.000000000000004,0.012987416573389312,-0.0029256334013153078,59.806795050210226,59.80679553353452,93.5286726639606,338.29502499720513
ur5,open_space,ccd,CCD,150,44.666666666666664,44.666666666666664,100.0,24.666666666666668,38.0,0.003980255188406393,-0.00770801003490677,34.81148825251096,34.81149649187842,770.0673313334119,1611.7049700056664
ur5,open_space,fabrik,FABRIK,150,53.333333333333336,53.333333333333336,100.0,20.666666666666668,42.66666666666667,0.0072181746712012655,-0.007678985436535671,47.15686613192311,47.15687193026592,172.75237600435503,387.7371650363781
ur5,open_space,trac_ik_style,TRAC-IK style,150,98.66666666666667,98.66666666666667,100.0,17.333333333333336,32.666666666666664,0.010875885226911202,-0.004160353132784924,0.7750755571340168,0.775077511303776,18.748215335654095,72.40242999396277
ur5,open_space,multi_start,Multi-start,150,97.33333333333334,97.33333333333334,100.0,13.333333333333334,34.66666666666667,0.013009226748493745,-0.003801639371723974,0.9620700593216327,0.9620714694650695,141.1500326641059,226.60747497575355
ur5,open_space,protein_ik,ProteinIK (V1),150,92.0,92.0,100.0,12.666666666666668,36.666666666666664,0.013460853988159202,-0.0022917561557447234,31.95071950413108,31.950723005825385,61.893831332369395,255.196534996503
ur5,open_space,protein_fast,ProteinIK Fast (V4),150,100.0,100.0,100.0,2.666666666666667,29.333333333333332,0.017474884029416413,0.00030275005823423646,0.25378616112460056,0.2537880789114946,19.86648533376865,25.287884997669586
ur5,open_space,protein_raw,ProteinIK Raw Biology (V6),150,99.33333333333333,99.33333333333333,100.0,2.666666666666667,14.000000000000002,0.01734957283180921,0.005399268078398764,0.20019249556170446,0.20024466795637824,6109.544799332119,13493.186444981255
ur5,open_space,pybullet_native_ik,PyBullet native IK,150,nan,74.66666666666667,nan,nan,42.0,nan,-0.005905991168378968,nan,8.250715201184887,16.077307333471254,38.272405022871666
ur5,near_singular,jacobian_dls,Jacobian (DLS),150,47.333333333333336,47.333333333333336,100.0,29.333333333333332,48.66666666666667,-0.00316073896552712,-0.01880459007096949,71.74439448115982,71.74438849143657,71.51734666860041,160.2116550231585
ur5,near_singular,ccd,CCD,150,32.0,32.0,100.0,36.666666666666664,46.666666666666664,-0.006614874652590739,-0.017534598927858188,43.43016041950264,43.430170370705724,375.73407866526395,689.6885850292163
ur5,near_singular,fabrik,FABRIK,150,33.33333333333333,33.33333333333333,100.0,28.000000000000004,53.333333333333336,-0.0007908454720224554,-0.01765779553273367,56.286658298709696,56.28666059185644,166.9812186656054,255.82704997796097
ur5,near_singular,trac_ik_style,TRAC-IK style,150,99.33333333333333,99.33333333333333,100.0,29.333333333333332,48.66666666666667,0.00037875681915111473,-0.016019697975986295,0.7828372346124683,0.7828346278377918,28.89968333261398,98.26959501369853
ur5,near_singular,multi_start,Multi-start,150,98.0,98.0,100.0,22.0,44.666666666666664,0.005810634018301479,-0.011447262907807506,0.6540783488684824,0.6540779017629541,156.26630799806057,237.1658499760087
ur5,near_singular,protein_ik,ProteinIK (V1),150,90.0,90.0,100.0,18.0,39.33333333333333,0.009337495343876965,-0.008944418577878116,38.77576049617782,38.77575911676315,85.96782866632566,285.08869997749565
ur5,near_singular,protein_fast,ProteinIK Fast (V4),150,100.0,99.33333333333333,99.33333333333333,8.666666666666668,39.33333333333333,0.014427507071622893,-0.005024426527810052,0.3476475456567913,0.3476443014675263,44.818554666514196,250.90444500965518
ur5,near_singular,protein_raw,ProteinIK Raw Biology (V6),150,98.66666666666667,98.66666666666667,100.0,8.0,26.0,0.014200771398723399,-0.0015089280455489547,0.5274393933453478,0.5274501383657414,3343.4705320031694,3955.4926950077056
ur5,near_singular,pybullet_native_ik,PyBullet native IK,150,nan,46.0,nan,nan,54.0,nan,-0.01617483644244151,nan,14.410042343855745,11.176883329559738,14.744684996549033
ur5,cluttered,jacobian_dls,Jacobian (DLS),150,57.333333333333336,57.333333333333336,100.0,48.66666666666667,68.0,-0.019608006283031647,-0.03474143296310572,38.06831729096009,38.068315102958316,34.10510399883302,80.3060799866216
ur5,cluttered,ccd,CCD,150,42.0,42.0,100.0,60.0,70.0,-0.02409168537090046,-0.03651498930773495,19.606727881990548,19.606732555371202,177.20033466854753,329.15962002298323
ur5,cluttered,fabrik,FABRIK,150,34.0,34.0,100.0,51.33333333333333,70.0,-0.017923127604914657,-0.03482553814711622,35.13001600451768,35.13002179145927,134.3040820028788,237.1817849838407
ur5,cluttered,trac_ik_style,TRAC-IK style,150,97.33333333333334,97.33333333333334,100.0,44.0,64.66666666666666,-0.011674508903555534,-0.030225840047835136,0.7345844188689383,0.734585883260019,19.69930533513737,68.90089001681173
ur5,cluttered,multi_start,Multi-start,150,98.66666666666667,98.66666666666667,100.0,38.666666666666664,65.33333333333333,-0.005033163040875369,-0.02402035127797035,0.5521129296079857,0.552113600661023,120.39446266678472,197.45674499426957
ur5,cluttered,protein_ik,ProteinIK (V1),150,90.66666666666666,90.66666666666666,100.0,33.33333333333333,65.33333333333333,-0.00314957522215434,-0.023791278778700575,13.775954970271687,13.775957357303353,93.58864333402987,325.27351003373025
ur5,cluttered,protein_fast,ProteinIK Fast (V4),150,100.0,100.0,100.0,17.333333333333336,56.00000000000001,0.008913789406924265,-0.016466932951948725,0.316348732390953,0.31634558124175244,26.74445133190602,153.63428501004773
ur5,cluttered,protein_raw,ProteinIK Raw Biology (V6),150,100.0,100.0,100.0,16.0,48.66666666666667,0.00972317041984058,-0.013496568515357472,0.2877187637231469,0.2877379906879991,3003.149249999163,3399.31485998677
ur5,cluttered,pybullet_native_ik,PyBullet native IK,150,nan,54.0,nan,nan,71.33333333333334,nan,-0.03585011707985848,nan,5.788029055133098,8.985627999063581,12.628985024639405
